text,label
The day was splendid this week.,1
The experience sounds slightly standard but it could be worse.,2
The book feels cool but I don’t mind.,1
What a exciting time He gets!,1
I think You turned out average but that’s true.,0
Life gets quite disastrous.,0
My friend became decent while I don’t mind.,2
"Wow, School will be so adequate!",2
The weather went a bit amazing since it’s fine.,1
The city turned out  unremarkable.,1
How awesome The day will be!,1
"Wow, I gets a bit beautiful!",1
How brilliant Life appears!,1
How a bit tolerable remains I?,2
What a perfect time My friend will be!,1
I think We appears terrible yet that’s true.,0
My friend feels slightly okay lately.,2
I think I turned out disastrous yet that’s true.,0
The team was impressive this week.,1
I think The food gets lousy because that’s true.,0
How bad She is!,0
Why became The experience somewhat disastrous?,0
My friend feels tolerable since I don’t mind.,2
Why will be He slightly hopeless?,1
Is Work quite exciting?,1
Life sounds totally perfect but it could be worse.,1
How middling The food gets!,2
"Wow, I gets slightly acceptable!",2
Is This place kind of sufficient?,2
Does Life feels sufficient?,2
The weather looks totally awesome lately.,1
Why remains Life kind of satisfying?,1
The city appears totally terrible because it’s fine.,0
Does She became pleasant?,1
The book feels  enjoyable though it’s fine.,1
The team was bad this week.,0
How kind of nice turned out The weather?,0
The trip remains good today.,0
The project sounds so splendid because it could be worse.,1
This place went bleak this week.,0
Work became nothing special this week.,2
You looks kind of ugly lately.,0
The day is boring this week.,0
This place went splendid this week.,1
Does The party was depressing?,0
How quite happy has been Work?,1
The weather sounds mediocre though I don’t mind.,2
They appears poor today.,0
What a average time That idea went!,2
Does Life appears brilliant?,1
What a so-so time The weather remains!,2
The project will be  horrible.,0
He appears decent today.,2
He was frustrating and I don’t mind.,0
Does The weather became not great?,2
Why is The trip really bad?,0
I think They appears normal  that’s true.,2
The movie gets passable today.,2
My phone will be kind of pathetic.,0
That idea appears standard today.,2
I has been happy today.,1
Does That idea appears happy?,1
Is Life slightly acceptable?,2
So dreadful that Work seems!,0
So frustrating that The day is!,0
That idea looks mediocre yet I don’t mind.,2
Life gets totally perfect lately.,1
He turned out mediocre today.,2
How  awful has been She?,0
How somewhat fair seems The party?,2
You is kind of bleak.,1
How awful He seems!,0
How splendid The food became!,1
Is Work really unpleasant?,0
Is The city somewhat depressing?,0
The party was  moderate.,2
They has been  depressing.,0
The weather will be rotten but I don’t mind.,0
Why will be We  decent?,0
So fair that The day is!,2
What a passable time The book was!,1
Why has been The day kind of pleasant?,2
Why sounds He very good?,0
The weather remains somewhat decent lately.,1
So not bad that The book became!,2
I think I will be fine yet that’s true.,0
My phone turned out awful this week.,0
We is bleak today.,0
How totally hopeless seems She?,0
Why has been The game pretty normal?,2
So fine that Life will be!,2
How totally hopeless remains He?,2
"Wow, Work gets a bit dreadful!",1
They seems slightly usual but it could be worse.,2
I is plain this week.,1
How slightly okay looks The team?,1
The project appears alright today.,1
